title,duration,view_count,upload_date,artist,like_count,repost_count,comment_count,video_url
#fyp #demure ,38,54600000,20240805,Jools Lebron,5000000,782100,24200,https://www.tiktok.com/@joolieannie/video/7399736793119247662
#fyp ,19,119500,20241014,Jools Lebron,11900,231,404,https://www.tiktok.com/@joolieannie/video/7425705418330098990
#fyp ,24,155400,20241014,Jools Lebron,13600,280,255,https://www.tiktok.com/@joolieannie/video/7425646819679489323
Sweatproof glam #fyp #demure @airbnb ,26,156200,20241013,Jools Lebron,15200,212,356,https://www.tiktok.com/@joolieannie/video/7425306293633633579
#fyp ,115,428500,20241013,Jools Lebron,65900,292,925,https://www.tiktok.com/@joolieannie/video/7425288919949856043
Replying to @DanaLynn #fyp ,104,174700,20241013,Jools Lebron,16900,68,216,https://www.tiktok.com/@joolieannie/video/7425252333770018090
#fyp ,10,94900,20241013,Jools Lebron,14400,71,430,https://www.tiktok.com/@joolieannie/video/7425240427030187306
Replying to @Bri G. #fyp @Kendraâ€™s Boutique ,30,97200,20241012,Jools Lebron,6208,53,191,https://www.tiktok.com/@joolieannie/video/7425002016633589034
#fyp,11,872500,20241012,Maggie Winters,96400,2250,471,https://www.tiktok.com/@joolieannie/video/7424994658423541034
#fyp ,8,111200,20241011,Jools Lebron,8579,24,88,https://www.tiktok.com/@joolieannie/video/7424650065811164459
